Java HotSpot(TM) 64-Bit Server VM (25.371-b11) for windows-amd64 JRE (1.8.0_371-b11), built on Mar 17 2023 04:03:45 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 24794848k(13024916k free), swap 26367712k(9818600k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=heap/heapdump3.hprof -XX:InitialHeapSize=83886080 -XX:+ManagementServer -XX:MaxHeapSize=83886080 -XX:MetaspaceSize=67108864 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:ThreadStackSize=512 -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2023-05-07T18:52:03.579+0800: 4.736: [GC (Allocation Failure) [PSYoungGen: 22016K->2544K(24576K)] 22016K->4696K(79360K), 0.0031930 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2023-05-07T18:52:28.124+0800: 29.281: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48368K->48368K(54784K)] 70384K->70384K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4960862 secs] [Times: user=3.97 sys=0.00, real=0.50 secs] 
2023-05-07T18:52:28.620+0800: 29.777: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48370K->48370K(54784K)] 70386K->70386K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4849047 secs] [Times: user=3.62 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:29.105+0800: 30.262: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48370K->48370K(54784K)] 70386K->70386K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4268159 secs] [Times: user=3.42 sys=0.01, real=0.43 secs] 
2023-05-07T18:52:29.532+0800: 30.689: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48372K->48372K(54784K)] 70388K->70388K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4329574 secs] [Times: user=3.05 sys=0.00, real=0.43 secs] 
2023-05-07T18:52:29.965+0800: 31.123: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48372K->48372K(54784K)] 70388K->70388K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4322985 secs] [Times: user=2.84 sys=0.02, real=0.43 secs] 
2023-05-07T18:52:30.399+0800: 31.555: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48374K->48373K(54784K)] 70390K->70389K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4327060 secs] [Times: user=2.81 sys=0.00, real=0.43 secs] 
2023-05-07T18:52:30.831+0800: 31.988: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48375K->48375K(54784K)] 70391K->70391K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4333429 secs] [Times: user=2.94 sys=0.00, real=0.43 secs] 
2023-05-07T18:52:31.265+0800: 32.422: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48377K->48377K(54784K)] 70393K->70393K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4354119 secs] [Times: user=3.26 sys=0.00, real=0.43 secs] 
2023-05-07T18:52:31.700+0800: 32.858: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48379K->48379K(54784K)] 70395K->70395K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4308200 secs] [Times: user=3.30 sys=0.00, real=0.43 secs] 
2023-05-07T18:52:32.132+0800: 33.289: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48381K->48381K(54784K)] 70397K->70397K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4345960 secs] [Times: user=3.25 sys=0.00, real=0.43 secs] 
